task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
adult,auc,0.124257861192355,0.800264065485726,0.270366324459149,0.931651617146471,0.642180079747469,-3.29812415739923,6,0.341951048839837,0.879238797700964,-2.87546069248473,-6.84292942799762,0.916625143145211
analcatdata_authorship,auc,0.0475210084033613,0.889605848364559,1.31622449314915,1,0.931649115724989,-4.54283701970928,8,0.458298987153568,0.590675212116679,3.22407484897818,2.19219512117186,0.544854520046036
analcatdata_dmft,auc,0.708924050632911,0.2940086996337,1.79821831223863,0.669257396449704,0.152682615185632,-0.0151511628070312,1,0.505819405592047,0.772984070144594,-5.28100191355369,-6.51266687279797,0.147307299519889
balance-scale,auc,0.0623399897593446,0.733333333333333,0.204271391738836,1,0.892179596540229,-0.22949653139507,12,0.422178686293773,0.294559694337659,-2.10494483304042,-6.28085705888238,0.489860022021458
bank-marketing,auc,0.0909733935134491,0.71368743925096,0.194306358469828,0.938817397246257,0.502498645200373,-4.13918362847993,11,0.409022690169513,0.726373906084336,-4.28309153407235,1.082912684383,0.971318889013492
banknote-authentication,auc,0.0116470961599492,0.988230729581032,0.218756200459789,1,0.97677421645064,-2.99587252716176,10,0.779359451991972,0.476929479214829,-4.42772805383278,0.20965891560295,0.475727033077157
blood-transfusion-service-center,auc,0.201855855855856,0.619857241142071,0.464772602392629,0.792113863089095,0.340826532620578,-1.30145960528132,2,0.965727587742731,0.802723976434209,-6.44206986758627,-6.73342997125559,0.1185752393445
breast-w,auc,0.0257971014492754,0.975415458937198,0.0885278047477263,0.99755305958132,0.944456029320314,-0.659508268510502,4,0.661354906148394,0.433518667870434,-3.33637380292696,-4.27420512440823,0.417659837517305
car,auc,0.0138896357037236,0.966317653638228,0.0770899439655808,1,0.970121923211499,-0.493577937439734,9,0.135221846522763,0.10582176981424,0.173400396111031,-5.59622909040812,0.837672243664041
christine,auc,0.253234068385046,0.746765750990843,0.527012941751606,0.827972819703597,0.494143052327969,-4.05182696412802,8,0.608360484638251,0.307224121596664,-4.3412222218612,-4.52228001907101,0.96936498566065
churn,auc,0.0472,0.862595456732371,0.162487532410971,0.939947912552564,0.794834554920399,-1.20304217021345,4,0.858633765671402,0.997834754083306,-2.72276148759406,-2.68808019400335,0.40234260042198
climate-model-simulation-crashes,auc,0.0648148148148148,0.6455,0.184376071374012,0.974612244897959,0.427724713700627,-1.67213630253397,19,0.96766591060441,0.494697516947053,-5.91417067655261,-0.777331046404984,0.211679922556505
cmc,auc,0.42764294907152,0.539740681344097,1.02595233730257,0.773795047787681,0.330079342628411,-5.05456040401987,17,0.982753086113371,0.951452199346386,-0.0406302108850696,-3.96733320094481,0.151773799047805
cnae-9,auc,0.0685185185185185,0.931481481481481,1.11234626201612,0.998804012345679,0.923704542188005,-3.78826311218313,15,0.155807552440092,0.615400088042952,-6.57516895329568,-2.68676789385696,0.820727729867213
connect-4,auc,0.122163603567123,0.737228242588606,0.304939808850556,0.947903260098588,0.747772491847537,-3.22416381853606,19,0.769140491448343,0.20910763842985,1.36955436766238,1.11322817584463,0.999430913827382
credit-approval,auc,0.123188405797101,0.875715902659876,0.33113241888754,0.952659077387431,0.753957524284601,-1.36964021265551,3,0.901431979518384,0.359819987951778,-5.71059404326184,-0.774422664679539,0.869618604751304
credit-g,auc,0.227,0.692142857142857,0.495582900264379,0.831190476190476,0.42511300740528,-2.43951538190849,8,0.894492246909067,0.651619841670618,-2.15495015672718,-4.10226406681975,0.260595020931214
