task,measure,ce,bacc,logloss,auc,mcc,svm.cost,svm.gamma
cnae-9,logloss,0.0527777777777778,0.947222222222222,0.207761143195682,0.998572530864197,0.941388295361368,2.52901174042077,-8.86705988904804
credit-approval,logloss,0.133333333333333,0.870366984458665,0.341580913714538,0.929341198322523,0.738455505179512,0.655958505237867,-8.03199586123755
credit-g,logloss,0.23,0.677619047619048,0.486995915852033,0.798190476190476,0.409815548492077,2.36583852103837,-5.06458330461403
cylinder-bands,logloss,0.155555555555556,0.838106233265332,0.424596898308067,0.880055861915083,0.68320695671677,1.49976520909916,-3.15355343464018
diabetes,logloss,0.220112781954887,0.734877492877493,0.470760871292109,0.838726495726496,0.500153200881898,-0.255971491296442,-3.4290252456559
dilbert,logloss,0.0968,0.902697684753041,0.212420608286811,0.949626022611204,0.878397178320806,4.65656407163422,-9.03961216080026
dna,logloss,0.0360935312789574,0.961624094921495,0.117330464012856,0.995896735783357,0.941591981407728,0.221616810227794,-6.21975677284109
dresses-sales,logloss,0.392,0.551724137931035,0.668089379449769,0.573399014778325,0.141536267069541,4.23288906900072,-1.1668018441612
electricity,logloss,0.140757097862465,0.853086270733931,0.340954454293938,0.926697949310338,0.710834327179758,3.92406161159424,0.07871183363351
eucalyptus,logloss,0.315290633098852,0.645129537129537,0.716294961970264,0.930685999185999,0.596971247480716,2.96654171284648,-4.4531030189807
fabert,logloss,0.303509980063467,0.670364374665986,0.835670659243908,0.940776965122766,0.63642772053696,1.87514322850996,-8.02567596276145
first-order-theorem-proving,logloss,0.414351539852166,0.442732110659664,1.1772136722368,0.833527437695267,0.426204213270471,3.36415232936648,-1.37611104552749
har,logloss,0.0100981252417749,0.990490103925547,0.0282549695927875,0.999812155835652,0.987862476483051,6.52336636435774,-6.64843961737087
ilpd,logloss,0.289772063120982,0.515929024048644,0.550852075245353,0.704270854683337,0.0847358020859539,8.41882850552294,-1.34816509298029
jasmine,logloss,0.213491279657022,0.786510067114094,0.434213175114892,0.854551656832275,0.592899535067092,-1.15344298756594,-5.84626337283093
jm1,logloss,0.187413996245881,0.533174242081205,0.442193636113329,0.719016011841105,0.171959303761183,0.340013298349546,2.66466304803645
jungle_chess_2pcs_raw_endgame_complete,logloss,0.138111104439081,0.811006451151418,0.269586811838257,0.973372385549918,0.758396732399785,8.46501075104496,-1.76038602984007
kc1,logloss,0.15031144211239,0.542743817205068,0.345870269925616,0.79810848435155,0.197886593471675,-5.55446538330064,1.58456238132497
kc2,logloss,0.166582002902758,0.670820927040439,0.386456188754238,0.84712543554007,0.423707929553779,-4.44891714508365,-8.17985156193029
kr-vs-kp,logloss,0.00500587774294671,0.99501565753941,0.0168748477855723,0.99980353211788,0.99002112254333,8.44940778382763,-4.92146540134226
madelon,logloss,0.396538461538462,0.603461538461539,0.660053672612997,0.643284023668639,0.207419745561677,6.12889066706149,-5.026932227276
mfeat-factors,logloss,0.0195,0.9805,0.0962172276959619,0.99985,0.978422840431556,7.86452097055991,-5.55895922300242
mfeat-fourier,logloss,0.158,0.842,0.38195987851843,0.987,0.825104203763415,1.55662120824099,-4.87849124713416
mfeat-karhunen,logloss,0.0215,0.9785,0.113005962350856,0.999844444444444,0.976214077600269,0.663400088035245,-4.05321130008514
mfeat-morphological,logloss,0.238,0.762,0.594929205206523,0.9762,0.737637325985526,4.34415614612437,-1.87384810540387
mfeat-pixel,logloss,0.019,0.981,0.0929490805058007,0.999872222222222,0.978975757014436,1.70938768880066,-5.10073095989046
mfeat-zernike,logloss,0.102,0.898,0.303382409954324,0.993888888888889,0.887014146250699,3.71283184127628,-3.62643531289708
nomao,logloss,0.0359493590109478,0.956211990293542,0.0973228398863389,0.992349935173995,0.911998190812532,3.73746515815288,-5.83340792146152
optdigits,logloss,0.0119217081850534,0.988100148490348,0.0520356125507095,0.999932295092081,0.986782469648117,5.72607368318975,-4.04662289509001
