nrow,nfeatures,n_blocks,d_token,residual_dropout,attention_dropout,ffn_dropout,ffn_d_hidden_multiplier,lr,weight_decay,epochs,rss_kb,rss_mib
50000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1386384,1353.89062500000000000000
1e+05,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1401264,1368.42187500000000000000
100,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1032256,1008.06250000000000000000
1000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1254672,1225.26562500000000000000
5000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1308976,1278.29687500000000000000
10000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1388160,1355.62500000000000000000
50000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1413424,1380.29687500000000000000
1e+05,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1464176,1429.85937500000000000000
100,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,781072,762.76562500000000000000
1000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,899440,878.35937500000000000000
5000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,905472,884.25000000000000000000
10000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,923472,901.82812500000000000000
50000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,876304,855.76562500000000000000
1e+05,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,871920,851.48437500000000000000
100,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,841920,822.18750000000000000000
1000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,977088,954.18750000000000000000
5000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,968320,945.62500000000000000000
10000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,956720,934.29687500000000000000
50000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,984032,960.96875000000000000000
1e+05,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,975296,952.43750000000000000000
100,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,740800,723.43750000000000000000
1000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,937424,915.45312500000000000000
5000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1157488,1130.35937500000000000000
10000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1171040,1143.59375000000000000000
50000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1270656,1240.87500000000000000000
1e+05,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1282336,1252.28125000000000000000
100,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,849184,829.28125000000000000000
1000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1272272,1242.45312500000000000000
5000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1438832,1405.10937500000000000000
10000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1617264,1579.35937500000000000000
50000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1896912,1852.45312500000000000000
1e+05,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1581296,1544.23437500000000000000
100,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1224496,1195.79687500000000000000
1000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1695152,1655.42187500000000000000
5000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1697072,1657.29687500000000000000
10000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1464816,1430.48437500000000000000
