"","nrow","nfeatures","n_blocks","d_token","residual_dropout","attention_dropout","ffn_dropout","ffn_d_hidden_multiplier","lr","weight_decay","epochs"
"236",1000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"237",5000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"238",10000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"239",50000,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"240",1e+05,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"241",100,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"242",1000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"243",5000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"244",10000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"245",50000,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"246",1e+05,500,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"247",100,1000,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"248",1000,1000,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"249",5000,1000,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"250",10000,1000,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"251",50000,1000,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"252",1e+05,1000,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"253",100,1,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"254",1000,1,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"255",5000,1,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"256",10000,1,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"257",50000,1,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"258",1e+05,1,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"259",100,10,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"260",1000,10,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"261",5000,10,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"262",10000,10,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"263",50000,10,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"264",1e+05,10,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"265",100,50,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"266",1000,50,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"267",5000,50,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"268",10000,50,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"269",50000,50,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"270",1e+05,50,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"271",100,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"272",1000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"273",5000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"274",10000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"275",50000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"276",1e+05,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"277",100,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"278",1000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"279",5000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"280",10000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"281",50000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"282",1e+05,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"283",100,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"284",1000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"285",5000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"286",10000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"287",50000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"288",1e+05,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"289",100,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"290",1000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"291",5000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"292",10000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"293",50000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"294",1e+05,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"295",100,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"296",1000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"297",5000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"298",10000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"299",50000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"300",1e+05,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"301",100,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"302",1000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"303",5000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"304",10000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"305",50000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"306",1e+05,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"307",100,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"308",1000,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
