task,measure,ce,bacc,logloss,auc,mcc,kknn.k,kknn.distance
wdbc,bacc,0.0280701754385965,0.964390331890332,0.200060255775825,0.991752044252044,0.940613653527935,2.68293026684997,1.72523188942422
wilt,bacc,0.0278985507246377,0.804297264112797,0.445055384448138,0.886797529608295,0.697638505214231,1.59309805220926,4.53569784346968
APSFailure,logloss,0.0111842105263158,0.716910123862422,0.0422140200232059,0.980224452205037,0.617403865763088,4.56416772517344,1.15069543477148
Amazon_employee_access,logloss,0.0572797586911105,0.508484794315309,0.204225544711395,0.820922604939087,0.102311018858999,4.59352043537579,1.10468141082674
Australian,logloss,0.130434782608696,0.861212398241261,0.350635542967107,0.926568426857052,0.739354947606673,4.0435843583862,1.00409179273993
Bioresponse,logloss,0.237537588652482,0.757787923410898,0.501674887382074,0.837287849726759,0.520313773306698,3.76628664089291,1.05913652759045
GesturePhaseSegmentationProcessed,logloss,0.406662626287486,0.508637656190601,1.05710696417727,0.896917595253228,0.467496121587656,4.37124128975895,1.0253096697852
Internet-Advertisements,logloss,0.107657380472887,0.615386473429952,0.262866574278517,0.969204868605886,0.446586026840496,4.6031202578683,2.04182631429285
KDDCup09_appetency,logloss,0.0178,0.5,0.142656532007409,0.636651154596766,0,4.58865753880611,1.45186427887529
MiceProtein,logloss,0.00277777777777778,0.997252747252747,0.0240216380556189,1,0.996850065137014,1.65634907348911,1.01652320194989
PhishingWebsites,logloss,0.0426058602603651,0.955696220859081,0.138711065444689,0.992057621929242,0.913748682999116,2.66673331761225,4.07472771668186
adult,logloss,0.151242756201815,0.761062216038795,0.340297084077064,0.902398109667216,0.561559908981927,4.61261971496292,1.01238979771733
analcatdata_authorship,logloss,0.00593837535014006,0.995383624551971,0.0089208867732885,1,0.991543127042639,1.13052139088829,1.05166636500508
analcatdata_dmft,logloss,0.795316455696203,0.201558302808303,1.76012406269859,0.602606829779907,0.040050921803455,4.55639248808381,4.27679248061031
balance-scale,logloss,0.100819252432156,0.650451559934319,0.3792007179044,0.956561632976615,0.822732080797438,3.41519205359439,2.38976516760886
bank-marketing,logloss,0.101280661742572,0.623791779794778,0.247819300195319,0.90431009467639,0.378545227504712,4.61123746241139,2.43489030282944
banknote-authentication,logloss,0.00145456468845869,0.998692754613807,0.013641495750757,0.999893549073877,0.997079614175658,3.14621892822445,1.08509055059403
blood-transfusion-service-center,logloss,0.219261261261261,0.610844513243894,0.472847414302111,0.756713679623896,0.293203556457743,3.97601817437384,1.14828267414123
breast-w,logloss,0.0357556935817805,0.962849033816425,0.103349611403015,0.992207004830918,0.922956988930078,3.11487505504983,4.50734301097691
car,logloss,0.105309853474929,0.72084229566287,0.237210086899215,0.959067699344528,0.777716185303393,2.21168181478339,3.01746182050556
christine,logloss,0.27888562249763,0.721105644389777,0.554855413633979,0.797870096782149,0.448708723355947,3.86221664103038,1.04612513072789
churn,logloss,0.1306,0.542333584637876,0.29072098750066,0.875170927991105,0.254616244435988,4.48463547087441,3.63793798722327
climate-model-simulation-crashes,logloss,0.0851851851851852,0.5,0.204158152536415,0.910112244897959,0,3.85591883507846,1.53316694684327
cmc,logloss,0.47998712998713,0.500992329407889,0.961176873625864,0.728773491043276,0.257595424704309,4.26720417179928,1.01318692043424
cnae-9,logloss,0.0981481481481481,0.901851851851852,0.65781368444374,0.996855709876543,0.891776468082683,3.78029377370913,1.13269717991352
connect-4,logloss,0.205263684247662,0.545815519835566,0.566671174725542,0.890599405127852,0.549761191083658,3.9188366697713,1.03202143497765
credit-approval,logloss,0.146376811594203,0.847054982369074,0.359854047781452,0.918690522833137,0.7051268424956,4.03679755654459,1.05807585734874
credit-g,logloss,0.258,0.595714285714286,0.520284774234525,0.769571428571429,0.297531798792197,3.79976930399565,1.78045688383281
cylinder-bands,logloss,0.2,0.779218730077776,0.434844343069673,0.894600878171618,0.597625794498626,3.07090817775995,1.75457699038088
diabetes,logloss,0.244805194805195,0.686415954415954,0.493518651623132,0.829766381766382,0.43340898733806,4.12938979122096,1.03824507351965
dilbert,logloss,0.0256,0.974312478138111,0.116924475461666,0.999275672495248,0.968073841172726,2.337976695918,1.21797610260546
dna,logloss,0.149383884387137,0.875620005654882,0.507996623552319,0.98266095400709,0.779104525848699,3.51258765201878,1.31586960144341
dresses-sales,logloss,0.392,0.550410509031199,0.665205140950328,0.588669950738916,0.1516395387963,4.60795709895616,3.16584222577512
electricity,logloss,0.153469245793857,0.838701136300367,0.364687184949048,0.924488930928469,0.684372729468344,3.41524493930243,1.01275791600347
eucalyptus,logloss,0.411791928915217,0.534628260628261,0.936864963751145,0.899616693071238,0.472631040489345,3.92886018396957,1.05710570886731
fabert,logloss,0.336414107751655,0.624292582244676,1.03685000563289,0.938986581733842,0.598432108110366,3.79462773154026,1.05520217586309
first-order-theorem-proving,logloss,0.449002492431779,0.395394567374915,1.27677633824877,0.831318162108929,0.369321272612937,4.60366370614751,1.05675773322582
har,logloss,0.0148559729023371,0.985810732257221,0.065293839795685,0.999525358183048,0.982163030574825,2.3153589377072,1.09211603458971
higgs,logloss,0.323182049974503,0.670311635283158,0.601077579525161,0.742907981318793,0.350961499887712,4.28947572563957,1.01439796481282
ilpd,logloss,0.291496201052016,0.538271589123454,0.536484677106546,0.693987412037986,0.123210217865317,3.87335792827804,4.12500405737509
jannis,logloss,0.337453611898835,0.489839644896127,0.829485870041674,0.816216551576205,0.465649471907509,4.59716989093506,1.00425575021654
jasmine,logloss,0.216838005880901,0.783152125279642,0.438532319832495,0.84853493085897,0.587111094566205,4.61239890958318,2.05128323379904
jm1,logloss,0.186313418273646,0.552797412752533,0.434040706219007,0.742800047347332,0.207177458948232,4.59029066455709,1.19232068117708
jungle_chess_2pcs_raw_endgame_complete,logloss,0.145674856434342,0.782512956417535,0.370102889595523,0.969538693178435,0.743651482274123,3.74661803269502,1.00716651417315
kc1,logloss,0.146996163394268,0.557058912797234,0.347056972190651,0.807220577067201,0.232482877669898,4.59907679588622,2.00958659406751
kc2,logloss,0.15511611030479,0.664205469327421,0.382145079446094,0.832487593707106,0.454826118411894,4.5854350856149,1.56971058156341
kr-vs-kp,logloss,0.0485041144200627,0.950822263178766,0.179152514769373,0.990057711116119,0.903149033291109,2.71108055974863,1.15177060291171
madelon,logloss,0.378461538461538,0.621538461538462,0.648016105609767,0.689852071005917,0.252991301041656,4.32945696202443,1.00158418156207
mfeat-factors,logloss,0.0365,0.9635,0.160245872194317,0.999538888888889,0.959659226819008,3.60610510559333,1.56681494601071
mfeat-fourier,logloss,0.1855,0.8145,0.647938263950134,0.984638888888889,0.795214702916607,3.43227326476511,1.01214842684567
mfeat-karhunen,logloss,0.0485,0.9515,0.214139890289939,0.999533333333333,0.946617389962169,3.7390129460252,1.00412630196661
mfeat-morphological,logloss,0.309,0.691,0.800173674250089,0.96805,0.658507451705272,4.61301349143385,1.83486458845437
mfeat-pixel,logloss,0.0265,0.9735,0.149345977047263,0.999761111111111,0.970710799448204,3.92067782567836,2.1123025547713
mfeat-zernike,logloss,0.1985,0.8015,0.513404923534534,0.980922222222222,0.779979496880565,3.65832689626397,4.18036180111269
nomao,logloss,0.0466267907982599,0.942276121316402,0.127884346300053,0.98951441469534,0.885684854449121,4.36288127967386,1.01417190022767
numerai28.6,logloss,0.48625415282392,0.513236508283416,0.699408450686623,0.518483592829076,0.026599732851293,4.61429275348265,3.44122551754117
optdigits,logloss,0.0211743772241993,0.978797073011683,0.0921747983278961,0.999794230190738,0.976545926097027,3.74518523048862,1.2792392373085
ozone-level-8hr,logloss,0.06116834209953,0.521454831932773,0.163747216004137,0.913971419263908,0.0972486921829365,4.17745604855702,1.03331477940083
